%time,field.x,field.y,field.z
1668719013877263545,0.7761549538484924,0.5927417469624756,0.02559298977749019
1668719013901995182,0.7888580581524735,0.5919773079308206,0.02848846390889817
1668719013925761699,0.7957605621766798,0.5961785894304062,0.026213284383424042
1668719013951052904,0.7910902518717635,0.5944143222381314,0.03469659798533226
1668719013976521492,0.7835067921049961,0.5933135478040594,0.03428267395933583
1668719014002423763,0.7760363303340778,0.5795578230836799,0.035717791480304954
1668719014028578996,0.7744879004409487,0.5955878101602146,0.027909605068564807
1668719014053585052,0.7715857300169018,0.5904400739789906,0.026726726211866926
1668719014077335119,0.7807712655796016,0.5982579746830606,0.027087131695524132
1668719014102138042,0.7791193418439026,0.5922685856304664,0.023193413254581498
1668719014127430200,0.7706673143891375,0.5921511990234581,0.025476106521960515
1668719014152214288,0.7785136858574393,0.594757860982693,0.022226646281570162
1668719014177556753,0.7776461509292243,0.5945573084329929,0.02051394707250251
1668719014202866315,0.7765111543799821,0.5977482454878706,0.021751417033702723
1668719014227855443,0.7773785858672994,0.5979494105592983,0.023463332953531868
1668719014255140304,0.7768476853252629,0.5986474427086966,0.025661940978223687
1668719014279826641,0.7734530480320557,0.598342351711631,0.02203782494839679
1668719014305735588,0.772923318094541,0.5990412183855823,0.024238728100414417
1668719014331271171,0.772923318094541,0.5990412183855823,0.024238728100414417
1668719014356272459,0.7697954157621096,0.605217973642266,0.025003037702650895
1668719014381924152,0.7678699711104797,0.6026306778743905,0.02405576172507412
1668719014406837224,0.7670009008285212,0.6024335308690488,0.02234836297088823
1668719014431159496,0.7667432871012207,0.6058197024419345,0.025293366445089435
1668719014456142663,0.7648167565415047,0.6032358084307358,0.024347801306669973
1668719014482628345,0.7622969756476966,0.6069243415180398,0.0260797136658049
1668719014506932973,0.7589751357878313,0.6048499165242097,0.02563619220686218
1668719014532567024,0.7575666411985877,0.6015592579713803,0.0224823130673101
1668719014554505586,0.755052832561914,0.6052652948622248,0.02422801460923866
1668719014578679800,0.7559236671003403,0.60545696065403,0.025929253470138563
1668719014601606369,0.7539342433438638,0.6084558438268436,0.025467542919135906
1668719014624594449,0.7520019459260235,0.6058761910898104,0.024523096597415504
1668719014648041963,0.7473195165857686,0.6103893174910545,0.02826789504701458
1668719014670569181,0.7445122986290028,0.607623662122897,0.025627898761999286
1668719014696577072,0.7475607452771861,0.6070050974918282,0.02532889978089474
1668719014721042156,0.7323859164970171,0.5976814847062687,0.025655793168011913
1668719014743548393,0.7311768173676597,0.5981675989592471,0.026949456756805098
1668719014766219854,0.7300461220702683,0.597162333622036,0.026705054594298037
1668719014787861824,0.7298356410215789,0.5971477201135439,0.028045162813229295
1668719014807581663,0.7268804396827381,0.5971226774189579,0.02556400519114317
1668719014828663587,0.7258651703694482,0.5962597856395051,0.025631113439743603
1668719014851664066,0.7245389794767391,0.5966035047115312,0.02661416343026392
1668719014873304128,0.7213877750778979,0.5979293061879092,0.025360765890319138
1668719014894225835,0.719255907815294,0.6001315337276898,0.025405638306504837
1668719014915657043,0.7148776386751282,0.597872102171007,0.025228420196713425
1668719014936602830,0.7130497198475967,0.5988545565635954,0.02298985555979822
1668719014958194017,0.7107037198145845,0.5956235683548833,0.023707567478180834
1668719014979713678,0.7074147956234714,0.5954650682014365,0.023622465514830496
1668719015000753164,0.7063437340706143,0.597434281620996,0.023757900295160884
1668719015021563291,0.7049957940761656,0.5964236661188436,0.024859296223217947
1668719015042026519,0.6935788101020135,0.6088606094470874,0.02142817438361556
1668719015067580699,0.702907736502376,0.5957891786161468,0.023475197481382017
1668719015090538024,0.7006832476971564,0.592679986658807,0.024503241651618487
1668719015116159677,0.6995484595872145,0.5943962673039009,0.024597961233332563
1668719015139910936,0.6964852610309916,0.5917884487530902,0.023436727114698658
1668719015162042617,0.6951552661834604,0.5921366236962042,0.024426358070047876
1668719015184637784,0.6953502617056676,0.5935046113212518,0.023530751247338166
1668719015209919691,0.6942051457609758,0.5925070766196702,0.023286703928958274
1668719015235060930,0.6941930709411233,0.589789690714714,0.022947109499426164
1668719015260611534,0.689441389456491,0.5929460344148427,0.02558913486704919
1668719015284807682,0.687728704602681,0.5909810307095155,0.02161781577474805
1668719015309168338,0.6875466823301088,0.5923289643206097,0.022854390805849802
1668719015334569931,0.6853259046958783,0.5946619692567887,0.023205628757626367
1668719015359613656,0.6841769822799801,0.5936673180454041,0.022962095974715272
1668719015386978626,0.6816440933917033,0.5958555007540822,0.025714491390741685
1668719015412547588,0.6808301913878851,0.5949839299904537,0.024429260655504166
1668719015437062025,0.6792976849497756,0.595333409658433,0.02677617675670187
1668719015461262226,0.6772684603610956,0.5935744848991845,0.02690914499849053
1668719015486703157,0.6773116810358111,0.5921144987962784,0.025361068926162664
1668719015512169837,0.6732877288615674,0.5940473569110787,0.024384296220680366
1668719015537841320,0.6739207963687043,0.5962704064690192,0.026910505530773326
1668719015564801931,0.6718149240449582,0.5956570535825783,0.025525332894914907
1668719015591166734,0.6724980775380904,0.5950353058552048,0.027970620158742715
1668719015616510629,0.6716841538785776,0.5941604321499082,0.02668569019049437
1668719015642048835,0.668292146177574,0.5927926084466811,0.02645971925376848
1668719015667667627,0.6681149618112194,0.5941401869742053,0.02770025835709629
1668719015692299604,0.6536842811138187,0.6119996072843201,0.028882446846017186
1668719015716513395,0.6504469702305998,0.6136627372908955,0.027527984419748783
1668719015743430614,0.6504469702305998,0.6136627372908955,0.027527984419748783
1668719015766672134,0.6450786831299572,0.6131318979780739,0.026898911344536754
1668719015789679527,0.6446627380959639,0.6138535577667097,0.026754730668199507
1668719015813758373,0.6450786831299572,0.6131318979780739,0.026898911344536754
1668719015836819410,0.6450786831299572,0.6131318979780739,0.026898911344536754
1668719015859855413,0.6421147633717164,0.6123802570102469,0.027334476473976257
1668719015883049249,0.640777002563576,0.613692766562761,0.025908805683833712
1668719015907228231,-111.0,-111.0,-111.0
1668719015931828975,0.6403590323432595,0.6144193032881267,0.02576448165377006
1668719015955482959,-111.0,-111.0,-111.0
1668719015979237318,-111.0,-111.0,-111.0
1668719016001886129,-111.0,-111.0,-111.0
1668719016026473760,-111.0,-111.0,-111.0
1668719016051481962,0.6519854660951728,0.5988506655318312,0.022129835897522807
1668719016076371431,0.6490997781344329,0.5960993424705123,0.01950226091005648
1668719016102640151,0.6373606110846022,0.6009512508046965,0.029938708645790058
1668719016126182794,0.6394033747020453,0.5880150159130413,0.03758213417434272
1668719016150999307,0.6349434991645448,0.5876224616532836,0.03824546668180485
1668719016176199197,0.6310946215479283,0.5983558429361943,0.0271152992803874
1668719016201173305,0.6280589355146927,0.5998057498001165,0.026196719294736714
1668719016226007223,0.6267320793885274,0.6001757434111914,0.02720991991578058
1668719016250613927,0.6246011818286971,0.5995919948854469,0.025820004825155125
1668719016274053335,0.6260116791376305,0.5994420186271335,0.024871082406802775
1668719016296526193,0.62023797734911,0.6014140991647233,0.02591773817635062
1668719016319090604,0.6069343452359616,0.6157203376573815,0.027128298383784846
1668719016342005014,0.6069343452359616,0.6157203376573815,0.027128298383784846
1668719016367262363,0.6054421933054723,0.6153635193382601,0.027346062594635713
1668719016391079664,0.6026413295756223,0.6162535608647305,0.026150378187031195
1668719016415362119,0.6022296279502479,0.6132850809892259,0.024447571979611
1668719016437671899,0.5996538397074757,0.6155458613192177,0.026586723234346396
1668719016460717201,0.5986051753319485,0.6144101337811843,0.026947699802740255
1668719016483343362,0.5942808823677055,0.6186939813601358,0.02753431112106005
1668719016507474422,0.5917374174585456,0.6172059231217183,0.028113932469139232
1668719016531507968,0.5902403095303934,0.6168605209289533,0.02833355097638335
1668719016558158874,0.5887419933842016,0.6165177815781877,0.02855404379220379
1668719016583845853,0.5876662193634108,0.6191354653200732,0.030479621012660052
1668719016609616041,0.5844233566664685,0.6208114023859703,0.0291505204930064
1668719016632815837,-111.0,-111.0,-111.0
1668719016658394813,0.5808298034829773,0.6181794890524294,0.03008894017542111
1668719016683705329,0.5754688907223675,0.6213224206019272,0.031051598617926144
1668719016709258556,0.5765397151301153,0.6187045383635399,0.029119580922829093
1668719016734933853,0.5750378012379876,0.6183704234602904,0.029341058069159674
1668719016760367393,0.5732947581258548,0.6203803799493027,0.027792685150518904
1668719016785405158,0.5707476434935683,0.6188933956178397,0.02837273129301819
1668719016809605836,0.5664583379333468,0.6194127288650749,0.027405456460613282
1668719016834607839,0.567134568077999,0.6200235309411251,0.030887258749277724
1668719016859596729,0.5682006947331353,0.6174060225773257,0.028952753120061552
1668719016884855031,0.5628474769208647,0.6205408764574574,0.029922702478839564
